team,signal_date,season,z_oos,z_bucket,regime,rolling_spread,mu,sigma_eq,match_date,home_team,away_team,venue,home_goals,away_goals,result,days_gap,home_odds,draw_odds,away_odds,ah_line,ah_home_odds,ah_away_odds,over_odds,under_odds,margin_1x2,margin_ah,odds_1x2,won_1x2,odds_ou,won_ou,odds_ah,pnl_mult_ah,gross_pnl_1x2,gross_pnl_ou,gross_pnl_ah
Liverpool,2021-05-08 19:15:00,2020,1.6507416879795396,Strong Long,Normal,0.4588839999999999,-0.2511,0.4301,2021-05-13,Manchester United,Liverpool,away,2,4,A,4,3.0,3.75,2.2,0.25,1.97,1.9,1.69,2.19,0.0545,0.0339,2.2,True,1.69,True,1.9,1.0,1.2000000000000002,0.69,0.8999999999999999
Liverpool,2021-10-30 14:00:00,2021,-1.5697764606265878,Strong Short,Break,-0.9384624,-0.1969,0.4724,2021-11-07,West Ham,Liverpool,away,3,2,H,7,4.75,4.0,1.7,0.75,1.96,1.92,1.49,2.63,0.0488,0.031,4.75,True,2.63,False,1.96,1.0,3.75,-1.0,0.96
Liverpool,2021-12-28 20:00:00,2021,2.6820533446232013,Strong Long,Normal,1.070102,-0.1969,0.4724,2022-01-02,Chelsea,Liverpool,away,2,2,D,4,3.1,3.5,2.25,0.25,1.88,1.99,1.79,2.05,0.0527,0.0344,2.25,False,1.79,True,1.99,-1.0,-1.0,0.79,-1.0
Liverpool,2022-01-02 16:30:00,2021,1.9901185436071125,Strong Long,Normal,0.7432319999999999,-0.1969,0.4724,2022-01-16,Liverpool,Brentford,home,3,0,H,13,1.3,5.5,10.0,-1.5,1.9,1.98,1.65,2.26,0.051,0.0314,1.3,True,1.65,True,1.9,1.0,0.30000000000000004,0.6499999999999999,0.8999999999999999
Liverpool,2022-10-09 15:30:00,2022,-1.796331639135959,Strong Short,Break,-1.0151278,-0.1669,0.4722,2022-10-16,Liverpool,Manchester City,home,1,0,H,6,3.6,4.0,1.9,0.5,1.97,1.91,1.46,2.7,0.0541,0.0312,1.9,False,2.7,True,1.91,-1.0,-1.0,1.7000000000000002,-1.0
Liverpool,2022-10-29 18:45:00,2022,2.0948415925455315,Strong Long,Normal,0.8222842,-0.1669,0.4722,2022-11-06,Tottenham,Liverpool,away,1,2,A,7,3.3,3.6,2.1,0.25,1.99,1.87,1.68,2.19,0.057,0.0373,2.1,True,1.68,True,1.87,1.0,1.1,0.6799999999999999,0.8700000000000001
Liverpool,2022-11-06 16:30:00,2022,2.391465480728505,Strong Long,Normal,0.96235,-0.1669,0.4722,2022-11-12,Liverpool,Southampton,home,3,1,H,5,1.25,6.5,11.0,-1.75,1.86,2.01,1.41,2.91,0.0448,0.0351,1.25,True,1.41,True,1.86,1.0,0.25,0.4099999999999999,0.8600000000000001
Liverpool,2022-12-26 17:30:00,2022,1.5491359593392626,Strong Long,Normal,0.5646019999999999,-0.1669,0.4722,2022-12-30,Liverpool,Leicester,home,2,1,H,3,1.29,6.0,9.5,-1.75,2.01,1.86,1.44,2.8,0.0471,0.0351,1.29,True,1.44,True,2.01,-1.0,0.29000000000000004,0.43999999999999995,-1.0
Liverpool,2023-01-21 12:30:00,2022,2.143354510800508,Strong Long,Normal,0.8451919999999999,-0.1669,0.4722,2023-02-04,Wolverhampton Wanderers,Liverpool,away,3,0,H,13,4.0,3.8,1.85,0.5,1.99,1.89,1.79,2.05,0.0537,0.0316,1.85,False,1.79,True,1.89,-1.0,-1.0,0.79,-1.0
Liverpool,2023-02-04 15:00:00,2022,2.4800720033883947,Strong Long,Normal,1.00419,-0.1669,0.4722,2023-02-13,Liverpool,Everton,home,2,0,H,8,1.5,4.33,6.5,-1.0,1.87,2.0,1.78,2.06,0.0515,0.0348,1.5,True,1.78,False,1.87,1.0,0.5,-1.0,0.8700000000000001
